Project Sub-Code,Project Name,Project Type,Responsible Division,KPI Completed,Project Status,Latitude,Longitude,Date Project Awarded,Client Name,Consultant Name,First Party name,Project Description
,DUBAI INFRA,Shoring Works,Infrastructure Division,False,upcoming,25.203200000000002,55.2798,1/1/2026,Test,Test,Test,DUBAI INFRA
,DUBAI SOIL IMPROVEMENT,Soil Improvement,Soil Improvement Division,False,upcoming,25.206300000000002,55.2745,1/1/2026,Test,Test,Test,DUBAI SOIL IMPROVEMENT
,DUBAI MARINA,Others,Marine Division,False,upcoming,25.204800000000002,55.2708,1/1/2026,Test,Test,Test,DUBAI MARINA
,Trust Cost Muweilah Sharjah,"Others,Soil Improvement,Testing",Soil Improvement Division,False,on-going,25.3099976,55.450581,1/9/2026,"M/s.  Ms. Maryam, Hasa, Moza Salah Butti Obaid Bin Butti Al Maheri","M/s. Ati Consultants, Architects, Engineers Sharjah-UAE",Trust Cost Project Management Services,"Proposed (G+P+4F) Residential Building At Plot # 6703, 6704, 6744, Muweilah Commercial, Sharjah, UAE"
,BRIDDGE,"Others,Finanical,Piling Works,Testing,Anchoring Works,Shoring Works",Enabling Division,False,on-going,25.2365,55.789500000000004,1/5/2026,Al Soor Investments L.L.C,AECOM,A C E PILING AND FOUNDATIONS LLC,G+2P+12
,DBB - Al Awir,"Testing,Others",Enabling Division,False,upcoming,25.155693,55.453426,12/16/2025,Roads & Transport Authority (RTA),AECOM,DBB Contracting LLC,R1180/1A – Development Of The Junction Between Al Awir St. And Sheikh Zayed Bin Hamdan Al Nahyan St.
P480,Al Ajmi - Deira Island,"Enabling Works, Shoring Works, Piling Works, Soil Improvement Works","Enabling Division, Soil Improvement Division",True,upcoming,25.29,55.29,,Mr. Mohanad Hatem Raheema Al Waeli & Mohammed Hatem Raheema Al Waeli,Al Ajmi Engineering Consultants,Al Ajmi Engineering Consultants,
P310,High Deep - Al Wasl,Soil Improvement Works,Soil Improvement Division,True,cancelled,25.19,55.25,,Government of Dubai - Knowledge Fund Establishment,"Al Hashemi Planners, ARCH., ENGRS.",High Deep Foundation Contracting,
P314,Arifco - Nadd Al Sheba,Shoring Works,Enabling Division,True,cancelled,25.14,55.32,,MR. AL ANOOD A RAHMAN MOHAMMED,BINCHY AND BINCHY,ARIFCO BUILDING CONTRACTING,
P315,Palace - Lamer,Shoring Works,Enabling Division,True,cancelled,,,,Mr. Wissam Wafaa El Damaa,UNICA Architects,Palace Group LLC,
P328,A&M - Tristar Office Building Masdar City - Abu Dhabi,"Shoring Works, Piling Works",Enabling Division,True,cancelled,25.22,55.35,,Tristar Real Estate,EHAF Consulting Engineers,A&M International General Contracting LLC,
P336,A&M - Plaza 2,"Shoring Works, Piling Works",Enabling Division,True,cancelled,24.47,54.44,,Reportage Prime Properties,Al Reem Engineering Consultancy LLC,A&M International General Contracting. L.L.C.,
P337,Tiger - Al Barsha,Shoring Works,Enabling Division,True,cancelled,25.060000000000002,55.19,,Mr. Waleed Mohammad Mohammad,Al Majal Engineering Consultants,Tiger Group,
P341,Al Rabat - Hor Al Anz,Shoring Works,Enabling Division,True,cancelled,25.28,55.33,,Mr. Abdulrazaq Ali Hassan Al Zarouni,KAIZEN Architects & Engineers,Al Rabat Contracting,
